ordinal,app,group,route,renderedPath,finalUrl,status,template,verdict,screenshot,h1,activeNav,notes,exists,renders,correctShell,correctRoleNav,h1Clarity,primaryCtaClarity,templateFit,antiNoise,density,visualConsistency,recoveryEmptyState,demoScenarioReadiness
1,web,Public,/,/,http://localhost:3000/,200,PublicLanding,PASS,screenshots/01-public-home.png,슈퍼비전 의뢰와 피드백을 한곳에서,,captured and rendered,5,5,5,5,5,5,5,5,5,5,5,5
2,web,Public,/supervisors,/supervisors,http://localhost:3000/supervisors,200,PublicDirectory,PASS,screenshots/02-public-supervisors.png,슈퍼바이저를 비교하고 선택하세요,슈퍼바이저 찾기,ignored RSC prefetch aborts=3,5,5,5,5,5,5,5,5,5,5,5,5
3,web,Public,/supervisors/[id],/supervisors/10000000-0000-4000-8000-000000000105,http://localhost:3000/supervisors/10000000-0000-4000-8000-000000000105,200,PublicDetail,PASS,screenshots/03-public-supervisors-id.png,신경심리 해석 파트너,슈퍼바이저 찾기,captured and rendered,5,5,5,5,5,5,5,5,5,5,5,5
4,web,Public,/guide,/guide,http://localhost:3000/guide,200,PublicGuide,PASS,screenshots/04-public-guide.png,슈퍼비전 신청부터 기록까지 한 흐름으로,이용 가이드,captured and rendered,5,5,5,5,5,5,5,5,5,5,5,5
5,web,Public,/resources,/resources,http://localhost:3000/resources,200,PublicResources,PASS,screenshots/05-public-resources.png,의뢰 전에 필요한 기준만 확인합니다,이용 가이드,captured and rendered,5,5,5,5,5,5,5,5,5,5,5,5
6,web,Public,/clinical-guidelines,/clinical-guidelines,http://localhost:3000/clinical-guidelines,200,LegalStatic,PASS,screenshots/06-public-clinical-guidelines.png,임상 가이드라인,이용 가이드,captured and rendered,5,5,5,5,5,5,5,5,5,5,5,5
7,web,Public,/terms,/terms,http://localhost:3000/terms,200,LegalStatic,PASS,screenshots/07-public-terms.png,서비스 이용약관,이용 가이드,captured and rendered,5,5,5,5,5,5,5,5,5,5,5,5
8,web,Public,/privacy,/privacy,http://localhost:3000/privacy,200,LegalStatic,PASS,screenshots/08-public-privacy.png,개인정보 처리방침,이용 가이드,captured and rendered,5,5,5,5,5,5,5,5,5,5,5,5
9,web,Public,/security,/security,http://localhost:3000/security,200,LegalStatic,PASS,screenshots/09-public-security.png,보안 기준,이용 가이드,captured and rendered,5,5,5,5,5,5,5,5,5,5,5,5
10,web,Public,/sensitive-consent,/sensitive-consent,http://localhost:3000/sensitive-consent,200,LegalStatic,PASS,screenshots/10-public-sensitive-consent.png,민감정보 처리 동의,이용 가이드,captured and rendered,5,5,5,5,5,5,5,5,5,5,5,5
11,web,Auth,/login,/login,http://localhost:3000/login,200,AuthForm,PASS,screenshots/11-auth-login.png,내 슈퍼비전 현황을 확인합니다,,captured and rendered,5,5,5,5,5,5,5,5,4,5,5,5
12,web,Auth,/signup,/signup,http://localhost:3000/signup,200,AuthForm,PASS,screenshots/12-auth-signup.png,ClinicFlow 계정 만들기,,captured and rendered,5,5,5,5,5,5,5,5,5,5,5,5
13,web,Auth,/forgot-password,/forgot-password,http://localhost:3000/forgot-password,200,AuthForm,PASS,screenshots/13-auth-forgot-password.png,비밀번호 재설정,,captured and rendered,5,5,5,5,5,5,5,5,5,5,5,5
14,web,Auth,/reset-password,/reset-password,http://localhost:3000/reset-password,200,AuthForm,PASS,screenshots/14-auth-reset-password.png,새 비밀번호 설정,,captured and rendered,5,5,5,5,5,5,5,5,4,5,5,5
15,web,Auth,/email/verify,/email/verify,http://localhost:3000/email/verify,200,AuthForm,PASS,screenshots/15-auth-email-verify.png,이메일 확인,,captured and rendered,5,5,5,5,5,5,5,5,5,5,5,5
16,web,Auth,/verify-email,/verify-email,http://localhost:3000/email/verify,200,LegacyAlias,INTENTIONALLY REDIRECTED,screenshots/16-auth-verify-email.png,이메일 확인,,intentional alias/redirect to /email/verify,5,4,5,5,5,5,5,5,5,5,5,4
17,web,Supervisee,/requests,/requests,http://localhost:3000/requests,200,OperationalList,PASS,screenshots/17-supervisee-requests.png,내 슈퍼비전 의뢰,내 의뢰 / 내 의뢰 / 내 의뢰,captured and rendered,5,5,5,5,5,5,5,5,5,5,5,5
18,web,Supervisee,/requests/new,/requests/new,http://localhost:3000/requests/new,200,TransactionWizard,PASS,screenshots/18-supervisee-requests-new.png,새 슈퍼비전 의뢰,새 의뢰 / 새 의뢰 / 새 의뢰,captured and rendered,5,5,5,5,5,5,5,5,5,5,5,5
19,web,Supervisee,/requests/[id],/requests/10000000-0000-4000-8000-000000000607,http://localhost:3000/requests/10000000-0000-4000-8000-000000000607,200,DetailWorkspace,PASS,screenshots/19-supervisee-requests-id.png,의뢰 상세,내 의뢰 / 내 의뢰 / 내 의뢰,captured and rendered,5,5,5,5,5,5,5,5,5,5,5,5
20,web,Supervisee,/payments,/payments,http://localhost:3000/payments,200,OperationalList,PASS,screenshots/20-supervisee-payments.png,결제 내역,결제 내역 / 결제 내역 / 결제 내역,captured and rendered,5,5,5,5,5,5,5,5,5,5,5,5
21,web,Supervisee,/payments/[id],/payments/10000000-0000-4000-8000-000000000701,http://localhost:3000/payments/10000000-0000-4000-8000-000000000701,200,DetailWorkspace,PASS,screenshots/21-supervisee-payments-id.png,결제 상세,결제 내역 / 결제 내역 / 결제 내역,captured and rendered,5,5,5,5,5,5,5,5,5,5,5,5
22,web,Supervisee,/payments/confirm,/payments/confirm,http://localhost:3000/payments/confirm,200,RecoveryState,PASS,screenshots/22-supervisee-payments-confirm.png,결제 결과 확인,결제 내역 / 결제 내역 / 결제 내역,captured and rendered,5,5,5,5,5,5,5,5,5,5,5,5
23,web,Supervisee,/case-archive,/case-archive,http://localhost:3000/case-archive,200,ArchiveList,PASS,screenshots/23-supervisee-case-archive.png,케이스 아카이브,케이스 아카이브 / 케이스 아카이브 / 케이스 아카이브,captured and rendered,5,5,5,5,5,5,5,5,5,5,5,5
24,web,Supervisee,/notifications,/notifications,http://localhost:3000/notifications,200,OperationalList,PASS,screenshots/24-supervisee-notifications.png,알림,알림 / 알림 / 알림,captured and rendered,5,5,5,5,5,5,4,5,5,5,5,5
25,web,Supervisee,/settings,/settings,http://localhost:3000/settings,200,SettingsForm,PASS,screenshots/25-supervisee-settings.png,계정 설정,설정 / 설정,captured and rendered,5,5,5,5,5,5,5,5,5,5,5,5
26,web,Supervisor,/supervisor,/supervisor,http://localhost:3000/supervisor,200,SupervisorHome,PASS,screenshots/26-supervisor-supervisor.png,정확한 평가 전문가,업무 홈 / 업무 홈 / 업무 홈,captured and rendered,5,5,5,5,5,5,5,5,5,5,5,5
27,web,Supervisor,/supervisor/requests,/supervisor/requests,http://localhost:3000/supervisor/requests,200,OperationalList,PASS,screenshots/27-supervisor-supervisor-requests.png,검토할 의뢰,검토할 의뢰 / 검토할 의뢰 / 검토할 의뢰,captured and rendered,5,5,5,5,5,5,5,5,5,5,5,5
28,web,Supervisor,/supervisor/requests/[id],/supervisor/requests/10000000-0000-4000-8000-000000000601,http://localhost:3000/supervisor/requests/10000000-0000-4000-8000-000000000601,200,DetailWorkspace,PASS,screenshots/28-supervisor-supervisor-requests-id.png,종합심리평가 보고서 검토,검토할 의뢰 / 검토할 의뢰 / 검토할 의뢰,captured and rendered,5,5,5,5,5,5,5,5,5,5,5,5
29,web,Supervisor,/supervisor/profile,/supervisor/profile,http://localhost:3000/supervisor/profile,200,SettingsForm,PASS,screenshots/29-supervisor-supervisor-profile.png,슈퍼바이저 프로필,프로필 / 프로필 / 프로필,captured and rendered,5,5,5,5,5,5,5,5,5,5,5,5
30,web,Supervisor,/supervisor/products,/supervisor/products,http://localhost:3000/supervisor/products,200,SettingsListForm,PASS,screenshots/30-supervisor-supervisor-products.png,슈퍼비전 방식,슈퍼비전 방식 / 슈퍼비전 방식 / 슈퍼비전 방식,captured and rendered,5,5,5,5,5,5,5,5,5,5,5,5
